id,item_type,section_name,item_title,item_author,item_journal_title,item_publication_date,item_doi,item_url,permalink,item_student_note,used_in_tab
REF-015,Article,Week 4: Qualitative Research,New ways of seeing through qualitative research,"Bansal, P., Smith, W. K., & Vaara, E.",Academy of Management Journal,2018,,https://na06.alma.exlibrisgroup.com/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=NEW+WAYS+OF+SEEING+THROUGH+QUALITATIVE+RESEARCH&rft.jtitle=Academy+of+Management+journal&rft.au=Bansal%2C+Pratima+%28Tima%29&rft.au=Smith%2C+Wendy+K&rft.au=Vaara%2C+Eero&rft.date=2018-08-01&rft.pub=Academy+of+Management&rft.issn=0001-4273&rft.eissn=1948-0989&rft.volume=61&rft.issue=4&rft.spage=1189&rft_id=info:doi/10.5465%2Famj.2018.4004&rft.externalDBID=NO_FULL_TEXT&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502680006731?auth=SAML,,03_REFERENCES_MASTER
REF-016,Article,Week 4: Qualitative Research,What is qualitative research? An overview and guidelines,"Lim, W. M.",Australasian Marketing Journal,2025,10.1177/14413582241264619,http://localhost:1801/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=What+Is+Qualitative+Research%3F+An+Overview+and+Guidelines&rft.jtitle=Australasian+marketing+journal&rft.au=Lim%2C+Weng+Marc&rft.date=2025-05-01&rft.pub=SAGE+Publications&rft.issn=1441-3582&rft.eissn=1839-3349&rft.volume=33&rft.issue=2&rft.spage=199&rft.epage=229&rft_id=info:doi/10.1177%2F14413582241264619&rft.externalDocID=10.1177_14413582241264619&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5688730480006731?auth=SAML,,03_REFERENCES_MASTER
REF-017,Website,Week 6: Lumivero,NVivo trial,Lumivero,,n.d.,,https://lumivero.com/resources/free-trial/,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5688731330006731?auth=SAML,,03_REFERENCES_MASTER
REF-018,Article,Week 6: Qualitative Data Analysis Software,Making visible the coding process: Using qualitative data software in a post-structural study,"Ryan, M.",Issues in Educational Research,2009,,http://library.capella.edu/login?url=https://search.proquest.com/docview/2393127249?pq-origsite=,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502720006731?auth=SAML,,03_REFERENCES_MASTER
REF-019,Article,Week 6: Qualitative Data Analysis Software,Don't blame the software: Using qualitative data analysis software successfully in doctoral research,"Salmona, M., & Kaczynski, D.",Forum: Qualitative Social Research,2016,,http://library.capella.edu/login?url=https://search.proquest.com/docview/2539304343?pq-origsite=,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502730006731?auth=SAML,,03_REFERENCES_MASTER
REF-020,Website,Week 6: Qualitative Data Analysis Software,A software-assisted qualitative content analysis of news articles: Example and reflections,"Kaefer, F., Roper, J., & Sinha, P.",,2015,,https://doaj.org/article/62e6743f47b743f6a569dc2985e416d4,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502740006731?auth=SAML,,03_REFERENCES_MASTER
REF-021,Article,Week 6: Qualitative Data Analysis Software,Using qualitative data analysis software to support digital research workflows,"Paulus, T. M.",Human Resource Development Review,2023,10.1177/15344843221138381,http://localhost:1801/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Using+Qualitative+Data+Analysis+Software+to+Support+Digital+Research+Workflows&rft.jtitle=Human+resource+development+review&rft.au=Paulus%2C+Trena+M&rft.date=2023-03-01&rft.pub=SAGE+PUBLICATIONS%2C+INC&rft.issn=1534-4843&rft.eissn=1552-6712&rft.volume=22&rft.issue=1&rft.spage=139&rft.epage=148&rft_id=info:doi/10.1177%2F15344843221138381&rft.externalDBID=HAS_PDF_LINK&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5688731220006731?auth=SAML,,03_REFERENCES_MASTER
REF-022,Video,Week 6: NVivo Users,Explore NVivo for Mac [Video],NVivo by QSR.,,n.d.,,https://www.youtube.com/watch?v=ONUACL9UcWY,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502760006731?auth=SAML,The PDF is the transcript.,03_REFERENCES_MASTER
REF-023,Video,Week 6: NVivo Users,Introduction to text analysis with NVivo 11 for Windows [Video],NVivo by QSR.,,n.d.,,https://youtu.be/SgY0MNdKVwM,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502780006731?auth=SAML,The PDF is the transcript.,03_REFERENCES_MASTER
REF-024,Article,Week 8: Qualitative Findings,Series: Practical guidance to qualitative research; Part 4: Trustworthiness and publishing,"Korstjens, I., & Moser. A.",European Journal of General Practice,2018,,,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502810006731?auth=SAML,,03_REFERENCES_MASTER
REF-025,Article,Week 8: Qualitative Findings,For the lack of a boilerplate: Tips on writing up (and reviewing) qualitative research,"Pratt, M. G.",Academy of Management Journal,2009,,https://na06.alma.exlibrisgroup.com/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=FOR+THE+LACK+OF+A+BOILERPLATE%3A+TIPS+ON+WRITING+UP+%28AND+REVIEWING%29+QUALITATIVE+RESEARCH&rft.jtitle=Academy+of+Management+journal&rft.au=Pratt%2C+Michael+G&rft.date=2009-10-01&rft.pub=Academy+of+Management&rft.issn=0001-4273&rft.eissn=1948-0989&rft.volume=52&rft.issue=5&rft.spage=856&rft_id=info:doi/10.5465%2FAMJ.2009.44632557&rft.externalDBID=NO_FULL_TEXT&rft.externalDocID=1897826271&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502820006731?auth=SAML,,03_REFERENCES_MASTER
REF-026,Article,Week 8: Qualitative Findings,Progressive focusing and trustworthiness in qualitative research: The enabling role of computer-assisted qualitative data analysis software (CAQDAS),"Sinkovics, R. R., & Alfoldi, E. A.",Management International Review,2012,,https://na06.alma.exlibrisgroup.com/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Progressive+focusing+and+trustworthiness+in+qualitative+research%3A+the+enabling+role+of+computer-assisted+qualitative+data+analysis+software&rft.jtitle=Management+international+review&rft.au=Sinkovics%2C+Rudolf+R&rft.au=Alfoldi%2C+Eva+A&rft.date=2012-01-01&rft.pub=Gabler+Verlag&rft.issn=0938-8249&rft.eissn=1861-8901&rft.volume=52&rft.issue=6&rft.spage=817&rft_id=info:doi/10.1007%2Fs11575-012-0140-5&rft.externalDocID=A311717615&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502830006731?auth=SAML,,03_REFERENCES_MASTER
REF-027,E-book,Week 8: Qualitative Findings,"The production of managerial knowledge and organizational theory: New approaches to writing, producing and consuming theory","Zilber, T. B., Amis, J. M., & Mair, J.",,2019,,https://na06.alma.exlibrisgroup.com/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=bookitem&rft.title=The+Production+of+Managerial+Knowledge+and+Organizational+Theory&rft.au=Zilber%2C+Tammar+B&rft.au=Amis%2C+John+M&rft.au=Mair%2C+Johanna&rft.atitle=Presenting+Findings+from+Qualitative+Research%3A+One+Size+Does+Not+Fit+All&rft.date=2019-01-01&rft.pub=Emerald+Publishing+Limited&rft.isbn=9781787691841&rft.volume=59&rft_id=info:doi/10.1108%2FS0733-558X20190000059011&rft.externalDBID=216&rft.externalDocID=5743722_126_216&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502840006731?auth=SAML,"Read Chapter 10, ""Presenting Findings From Qualitative Research: One Size Does Not Fit All!.""",03_REFERENCES_MASTER
REF-028,Article,Week 9: Presenting Qualitative Findings,Network analysis for the visualization and analysis of qualitative data,"Pokorny, J. J., Norman, A., Zanesco, A. P., Bauer-Wu, S., Sahdra, B. K., & Saron, C. D.",Psychological Methods,2018,,https://na06.alma.exlibrisgroup.com/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Network+analysis+for+the+visualization+and+analysis+of+qualitative+data&rft.jtitle=Psychological+methods&rft.au=Pokorny%2C+Jennifer+J&rft.au=Norman%2C+Alex&rft.au=Zanesco%2C+Anthony+P&rft.au=Bauer-Wu%2C+Susan&rft.date=2018-03-01&rft.pub=American+Psychological+Association&rft.issn=1082-989X&rft.eissn=1939-1463&rft.volume=23&rft.issue=1&rft.spage=169&rft.epage=183&rft_id=info:doi/10.1037%2Fmet0000129&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502860006731?auth=SAML,,03_REFERENCES_MASTER
REF-029,Article,Week 9: Presenting Qualitative Findings,Data display in qualitative research,"Verdinelli, S., & Scagnoli, N. I.",International Journal of Qualitative Methods,2013,,http://library.capella.edu/login?url=https://search.proquest.com/docview/2342347073?pq-origsite=,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502870006731?auth=SAML,,03_REFERENCES_MASTER
REF-030,Article,Week 9: Presenting Qualitative Findings,"Qualitative research and clinical work: ""Private-ization"" and ""public-ation""","Chenail, R. J.",The Qualitative Report,1994,,,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502880006731?auth=SAML,,03_REFERENCES_MASTER
REF-031,Article,Week 10: Convincing Qualitative Research: What Constitutes Persuasive Writing?,Convincing qualitative research: What constitutes persuasive writing?,"Jonsen, K., Fendt, J., & Point, S.",Organizational Research Methods,2018,,https://na06.alma.exlibrisgroup.com/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Convincing+Qualitative+Research&rft.jtitle=Organizational+research+methods&rft.au=Jonsen%2C+Karsten&rft.au=Fendt%2C+Jacqueline&rft.au=Point%2C+S%C3%A9bastien&rft.date=2018-01-01&rft.pub=SAGE+PUBLICATIONS%2C+INC&rft.issn=1094-4281&rft.eissn=1552-7425&rft.volume=21&rft.issue=1&rft.spage=30&rft_id=info:doi/10.1177%2F1094428117706533&rft.externalDBID=NO_FULL_TEXT&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502900006731?auth=SAML,,03_REFERENCES_MASTER
